iter	Logloss
0	0.6487461228
1	0.6133565917
2	0.5805347492
3	0.5472179081
4	0.5190066018
5	0.4927113455
6	0.4725294282
7	0.4531791152
8	0.4371905201
9	0.4206708449
10	0.4072937576
11	0.3936674837
12	0.3815156019
13	0.3701180994
14	0.3609054546
15	0.3518407156
16	0.3448129351
17	0.3370073008
18	0.330057332
19	0.3242996566
20	0.3185044999
21	0.3141828363
22	0.3095874684
23	0.3045610296
24	0.3002743882
25	0.2962765612
26	0.2920225873
27	0.2895648544
28	0.286558378
29	0.2835095001
30	0.28021286
31	0.2770702398
32	0.2745491361
33	0.2723671127
34	0.2700549648
35	0.2680506138
36	0.2656991642
37	0.2642811078
38	0.263026753
39	0.2610929612
40	0.2594539069
41	0.2565500464
42	0.2552273997
43	0.2537038192
44	0.2523535173
45	0.251636157
46	0.2507234929
47	0.249714679
48	0.2485269741
49	0.247747711
50	0.246634177
51	0.2453509479
52	0.2444662889
53	0.2436252183
54	0.2425489618
55	0.2420422305
56	0.2408830212
57	0.2401894263
58	0.2397100901
59	0.2387010666
60	0.2375503753
61	0.2364186825
62	0.2357252829
63	0.2348781313
64	0.2338550947
65	0.232737317
66	0.2324655675
67	0.2319379907
68	0.231153343
69	0.2304622548
70	0.2297555712
71	0.2287607744
72	0.2284320634
73	0.2279789469
74	0.2275474594
75	0.2272017535
76	0.2264616579
77	0.2261437313
78	0.2256693871
79	0.2252699133
80	0.2249549577
81	0.2244137599
82	0.2234967103
83	0.2233086402
84	0.2230536071
85	0.2226840542
86	0.2224003189
87	0.2221551702
88	0.2216736493
89	0.2213528661
90	0.2204026812
91	0.2202677416
92	0.2200965321
93	0.2194751622
94	0.2192161959
95	0.2180926213
96	0.2178113816
97	0.2175047593
98	0.21731846
99	0.2169258264
100	0.2166529188
101	0.2160829143
102	0.2158904643
103	0.2156574291
104	0.2151877801
105	0.2149302776
106	0.214511823
107	0.2142762717
108	0.2140255942
109	0.2138463419
110	0.2137027142
111	0.2134893867
112	0.2131189703
113	0.2129388127
114	0.2127350128
115	0.2124895472
116	0.2123435964
117	0.2121220863
118	0.2119744215
119	0.211859137
120	0.2117571288
121	0.2115976277
122	0.2111246183
123	0.2103827661
124	0.2102026081
125	0.2101050766
126	0.2099769637
127	0.2098419958
128	0.2096694149
129	0.2094854935
130	0.2093306367
131	0.2091555969
132	0.20898912
133	0.2088111576
134	0.2086081567
135	0.2084873978
136	0.2083837463
137	0.2082656131
138	0.2080974073
139	0.2079764304
140	0.2077729139
141	0.2075237089
142	0.2073940149
143	0.2072995657
144	0.2071552062
145	0.2069769678
146	0.2069099098
147	0.2067589516
148	0.2063251096
149	0.206239911
150	0.2060756115
151	0.2058219419
152	0.2056881044
153	0.2055842378
154	0.2055394007
155	0.205278125
156	0.2051092933
157	0.2049962925
158	0.2048658119
159	0.2047306254
160	0.204639688
161	0.2045576068
162	0.2042905139
163	0.2041644547
164	0.2039940305
165	0.2038388633
166	0.2037881307
167	0.2036999827
168	0.2035829038
169	0.2034454235
170	0.2031419517
171	0.203014466
172	0.2023245234
173	0.2022054819
174	0.2020231253
175	0.2019069734
176	0.2015406348
177	0.2013981873
178	0.2012940532
179	0.2011261882
180	0.2010240034
181	0.2009657492
182	0.2008856186
183	0.2007743681
184	0.200680732
185	0.2005296311
186	0.2004392763
187	0.2002589481
188	0.2001732922
189	0.2000162946
190	0.1998464756
191	0.1997540643
192	0.199575243
193	0.1994346985
194	0.1992814663
195	0.199127181
196	0.1990277181
197	0.1988852826
198	0.1987100313
199	0.1985838399
200	0.1984568472
201	0.1983407484
202	0.1980305533
203	0.1979716484
204	0.1978938748
205	0.1976806304
206	0.1975734217
207	0.1974178989
208	0.1973384672
209	0.1972547749
210	0.1972213051
211	0.1971452892
212	0.197057306
213	0.1970033048
214	0.1969175044
215	0.1967730445
216	0.1966170823
217	0.1965176144
218	0.1962587652
219	0.1960946762
220	0.1960155638
221	0.1958795347
222	0.1957469674
223	0.1956702357
224	0.195558888
225	0.1954465161
226	0.1953360866
227	0.1952465469
228	0.1950228674
229	0.1948951684
230	0.1947074034
231	0.1946165978
232	0.1945190175
233	0.1944389126
234	0.1939881528
235	0.1939027672
236	0.1938132204
237	0.193754089
238	0.1936334181
239	0.1934906426
240	0.1933906944
241	0.1932969398
242	0.1932416519
243	0.193141598
244	0.1929622519
245	0.1928704344
246	0.1927657689
247	0.1926707756
248	0.1925169612
249	0.1924520245
250	0.1923763139
251	0.1922728749
252	0.1921641209
253	0.1920381988
254	0.1919188956
255	0.1917558035
256	0.1915277659
257	0.191358059
