iter	Passed	Remaining
0	2	2430
1	3	1652
2	4	1446
3	5	1317
4	6	1233
5	7	1192
6	8	1158
7	9	1125
8	10	1104
9	10	1088
10	11	1062
11	12	1058
12	13	1049
13	14	1040
14	15	1039
15	16	1029
16	17	1033
17	18	1028
18	19	1021
19	20	1016
20	21	1011
21	22	1005
22	23	998
23	24	993
24	26	1026
25	28	1077
26	29	1068
27	30	1055
28	31	1050
29	32	1046
30	33	1038
31	34	1032
32	35	1026
33	35	1021
34	36	1016
35	37	1011
36	38	1006
37	39	1001
38	40	998
39	41	994
40	42	987
41	43	985
42	44	984
43	45	982
44	46	978
45	47	975
46	47	971
47	48	968
48	49	962
49	50	959
50	51	957
51	52	955
52	53	953
53	54	952
54	55	950
55	56	946
56	57	943
57	58	942
58	58	937
59	59	936
60	60	935
61	61	932
62	62	930
63	63	927
64	64	925
65	65	923
66	66	929
67	67	925
68	68	921
69	69	917
70	69	914
71	70	912
72	71	910
73	72	906
74	73	904
75	74	901
76	74	898
77	75	895
78	76	893
79	77	890
80	78	886
81	78	883
82	79	882
83	80	879
84	81	877
85	82	875
86	83	872
87	83	869
88	84	867
89	85	865
90	86	862
91	87	861
92	88	860
93	88	856
94	89	854
95	90	852
96	91	850
97	92	848
98	92	845
99	93	843
100	94	841
101	95	839
102	96	837
103	97	835
104	97	833
105	98	831
106	99	829
107	100	827
108	100	824
109	101	823
110	102	822
111	103	820
112	104	818
113	105	817
114	105	815
115	106	813
116	107	811
117	108	809
118	109	807
119	109	805
120	110	804
121	111	802
122	112	800
123	112	798
124	113	796
125	114	794
126	115	792
127	116	790
128	116	789
129	117	787
130	118	785
131	119	783
132	119	781
133	120	779
134	121	777
135	122	776
136	122	774
137	123	773
138	125	774
139	127	780
140	127	778
141	128	776
142	129	775
143	130	773
144	131	772
145	131	771
146	132	769
147	133	768
148	134	766
149	135	765
150	135	764
151	136	763
152	137	761
153	138	759
154	139	758
155	139	756
156	140	755
157	141	753
158	142	752
159	142	750
160	143	749
161	144	748
162	145	746
163	146	744
164	146	743
165	147	741
166	148	740
167	149	738
168	149	737
169	150	735
170	151	734
171	152	734
172	153	732
173	154	731
174	154	730
175	155	728
176	156	726
177	157	725
178	157	724
179	158	722
180	159	721
181	160	720
182	161	719
183	162	718
184	162	717
185	163	715
186	164	714
187	165	713
188	165	712
189	166	710
190	167	710
191	168	709
192	169	707
193	169	706
194	170	705
195	171	703
196	172	702
197	173	701
198	173	699
199	174	698
200	175	697
201	176	695
202	176	694
203	177	693
204	178	692
205	179	690
206	180	689
207	180	688
208	181	687
209	182	686
210	183	685
211	184	684
212	184	682
213	185	681
214	186	680
215	187	679
216	187	678
217	188	677
218	190	679
219	191	677
220	192	676
221	192	675
222	193	674
223	194	673
224	195	672
225	195	670
226	196	669
227	197	668
228	198	666
229	198	665
230	199	664
231	200	663
232	201	662
233	201	660
234	202	659
235	203	658
236	204	657
237	204	656
238	205	654
239	206	653
240	207	652
241	207	650
242	208	649
243	209	648
244	210	647
245	210	646
246	211	645
247	212	644
248	213	643
249	214	642
250	214	641
251	215	640
252	216	639
253	217	638
254	218	637
255	218	635
256	219	634
257	220	633
258	221	632
259	221	631
260	222	630
261	223	629
262	224	628
263	224	627
264	225	626
265	226	625
266	227	624
267	228	623
268	228	622
269	229	621
270	230	620
271	231	619
272	232	618
273	232	617
274	233	616
275	234	615
276	235	614
277	235	612
278	236	611
279	237	610
280	238	609
281	239	608
282	239	607
283	240	606
284	241	605
285	242	604
286	242	603
287	243	602
288	244	601
289	245	600
290	246	599
291	246	598
292	247	597
293	248	596
294	249	595
295	250	594
296	250	593
297	251	592
298	252	591
299	253	590
300	253	589
301	254	588
302	255	587
303	256	586
304	257	585
305	257	584
306	258	583
307	259	583
308	260	582
309	261	581
310	262	580
311	263	580
312	264	579
313	264	578
314	265	577
315	266	576
316	267	575
317	267	574
318	268	573
319	269	572
320	270	571
321	270	570
322	271	569
323	272	568
324	273	567
325	273	566
326	274	565
327	275	564
328	276	563
329	276	562
330	277	561
331	278	560
332	279	559
333	280	558
334	281	557
335	281	556
336	282	556
337	283	555
338	284	554
339	285	553
340	285	552
341	286	551
342	287	550
343	288	549
344	288	548
345	289	547
346	290	546
347	291	545
348	291	544
349	292	543
350	293	542
351	294	541
352	295	540
353	295	540
354	296	539
355	297	538
356	298	537
357	299	536
358	300	535
359	300	535
360	301	533
361	302	532
362	303	532
363	304	531
364	304	530
365	305	529
366	306	528
367	307	527
368	307	526
369	308	525
370	309	524
371	310	523
372	310	522
373	311	521
374	312	520
375	312	519
376	313	518
377	314	517
378	314	516
379	315	515
380	316	514
381	317	513
382	318	512
383	318	511
384	319	510
385	320	509
386	321	508
387	321	507
388	322	506
389	323	505
390	323	504
391	324	503
392	325	502
393	325	501
394	326	500
395	327	499
396	328	498
397	329	497
398	329	496
399	330	495
400	331	494
401	331	493
402	332	492
403	333	491
404	334	490
405	334	490
406	335	489
407	336	488
408	337	486
409	337	485
410	338	484
411	339	483
412	339	482
413	340	481
414	341	480
415	341	479
416	342	478
417	343	478
418	344	477
419	344	476
420	345	475
421	346	474
422	347	473
423	348	472
424	348	472
425	349	471
426	350	470
427	351	469
428	352	468
429	353	468
430	353	467
431	354	466
432	355	465
433	356	464
434	356	463
435	357	462
436	358	461
437	359	461
438	360	460
439	361	459
440	361	458
441	362	457
442	364	457
443	366	458
444	367	458
445	368	457
446	368	456
447	369	455
448	370	454
449	371	453
450	372	452
451	372	451
452	373	450
453	374	450
454	374	449
455	375	448
456	376	447
457	377	446
458	378	445
459	378	444
460	379	443
461	380	443
462	381	442
463	382	441
464	382	440
465	383	439
466	384	438
467	385	437
468	386	437
469	386	436
470	387	435
471	388	434
472	389	433
473	389	432
474	390	432
